,precision,accuracy,recall,duration,f1,auc,iter,fold,tune,model,dataset
0,0.6317524160661416,0.7545454545454545,0.6046633678212626,43.66317558288574,0.5983400767714494,0.7988800073820318,1,1,1,cnnM,WESAD
1,0.6406181015452538,0.7454545454545455,0.6035237666816614,10.098268270492555,0.5910308034296602,0.8200450995997555,2,2,1,cnnM,WESAD
2,0.5208467194973941,0.7318181818181818,0.5749287749287749,10.045599222183226,0.5402117330525823,0.8031984959110465,3,3,1,cnnM,WESAD
3,0.5411439938294158,0.7272727272727273,0.562962962962963,10.158792257308962,0.5410981559579922,0.7700531736968984,4,4,1,cnnM,WESAD
4,0.5694545520704462,0.7136363636363636,0.5662618083670715,11.999479293823242,0.5537536753116609,0.7649376564356322,5,5,1,cnnM,WESAD
5,0.0984848484848485,0.2954545454545455,0.3333333333333333,933.5309376716614,0.15204678362573099,0.5,1,1,1,encoderM,WESAD
6,0.17727272727272728,0.5318181818181819,0.3333333333333333,852.9062693119049,0.2314540059347181,0.5,2,2,1,encoderM,WESAD
7,0.0984848484848485,0.2954545454545455,0.3333333333333333,851.7677848339081,0.15204678362573099,0.5,3,3,1,encoderM,WESAD
8,0.17727272727272728,0.5318181818181819,0.3333333333333333,849.5899679660797,0.2314540059347181,0.5,4,4,1,encoderM,WESAD
9,0.17727272727272728,0.5318181818181819,0.3333333333333333,851.5276947021484,0.2314540059347181,0.5,5,5,1,encoderM,WESAD
10,0.7384635013425659,0.7863636363636364,0.7622132253711201,344.1166226863861,0.7460375652833298,0.925525104674902,1,1,1,fcnM,WESAD
11,0.8156751408783929,0.8545454545454545,0.784900284900285,218.70177936553955,0.7939458689458689,0.9021171436151194,2,2,1,fcnM,WESAD
12,0.7259259259259259,0.6681818181818182,0.7186384765332133,219.21606302261355,0.6576882960035134,0.93261819901496,3,3,1,fcnM,WESAD
13,0.6301560758082497,0.6863636363636364,0.5532613585245164,232.9118585586548,0.5689167003735516,0.8445234552522002,4,4,1,fcnM,WESAD
14,0.6867056228826084,0.7227272727272728,0.7045434098065678,236.2202682495117,0.6878173835620643,0.8737182370785609,5,5,1,fcnM,WESAD
15,0.8642059252064108,0.8545454545454545,0.7602938971360024,3809.465330839157,0.7888614314182018,0.9661349296976828,1,1,1,inceptionM,WESAD
16,0.8973803973803974,0.8545454545454545,0.7725895936422252,1904.0230584144592,0.8099259754113376,0.974450673033669,2,2,1,inceptionM,WESAD
